epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0654,1.10438,4.08614,0.93737,0.20154,0.07217,0.03435,0.02973,0.77999,3.62863,1.06038,4.128e-05,4.128e-05,4.128e-05
2,29.9831,0.62461,1.86808,0.8497,0.5805,0.27291,0.16414,0.13841,0.67342,3.79148,0.93846,8.38628e-05,8.38628e-05,8.38628e-05
3,43.8699,0.52186,1.12824,0.82487,0.62868,0.395,0.25169,0.21095,0.6926,2.80389,0.92247,0.00012602,0.00012602,0.00012602
4,59.9561,0.46335,0.84565,0.81468,0.50101,0.50959,0.31027,0.26345,0.65644,2.7806,0.89877,0.000167751,0.000167751,0.000167751
5,76.4478,0.44509,0.68867,0.79749,0.5633,0.50256,0.33367,0.28399,0.64478,2.70051,0.88996,0.000168594,0.000168594,0.000168594
6,89.5813,0.4039,0.58227,0.79397,0.43177,0.65132,0.36231,0.31142,0.63368,2.63127,0.8889,0.000167743,0.000167743,0.000167743
7,112.43,0.39241,0.52242,0.79303,0.50773,0.56375,0.36926,0.3161,0.64878,2.78603,0.89588,0.000166892,0.000166892,0.000166892
8,128.861,0.39379,0.50117,0.79725,0.48747,0.62955,0.3754,0.31655,0.67185,2.79908,0.90907,0.00016604,0.00016604,0.00016604
9,144.213,0.3841,0.47056,0.78999,0.50082,0.62015,0.4137,0.34831,0.71486,2.75336,0.91951,0.000165189,0.000165189,0.000165189
10,159.628,0.3766,0.45475,0.78963,0.47341,0.69082,0.42911,0.35442,0.7162,2.95608,0.93469,0.000164337,0.000164337,0.000164337
11,175.293,0.37056,0.44108,0.79094,0.49773,0.6854,0.42954,0.36231,0.66571,2.8157,0.90536,0.000163486,0.000163486,0.000163486
12,191.41,0.35088,0.39789,0.78669,0.46701,0.75388,0.4212,0.36105,0.65939,2.5752,0.89553,0.000162635,0.000162635,0.000162635
13,204.153,0.32797,0.37965,0.78647,0.42725,0.75593,0.4237,0.35068,0.73848,2.6538,0.92838,0.000161783,0.000161783,0.000161783
14,219.877,0.33124,0.36714,0.78648,0.41512,0.79533,0.4534,0.36875,0.72034,2.89888,0.9281,0.000160932,0.000160932,0.000160932
15,236.042,0.32904,0.36311,0.78615,0.42898,0.77561,0.45826,0.37963,0.69067,2.57058,0.91868,0.00016008,0.00016008,0.00016008
16,249.769,0.31099,0.34597,0.78698,0.45868,0.71229,0.46821,0.37248,0.76224,2.79491,0.95494,0.000159229,0.000159229,0.000159229
17,266.534,0.31811,0.35447,0.78451,0.40994,0.77211,0.46226,0.35548,0.85858,2.75997,1.00164,0.000158378,0.000158378,0.000158378
18,282.594,0.31908,0.33545,0.78454,0.40652,0.85904,0.46451,0.36018,0.85395,2.54248,1.01245,0.000157526,0.000157526,0.000157526
19,295.369,0.31058,0.33256,0.78324,0.42289,0.81573,0.45204,0.36124,0.75228,2.61943,0.94359,0.000156675,0.000156675,0.000156675
20,321.435,0.29804,0.31503,0.78424,0.44147,0.78596,0.45735,0.35921,0.81178,2.83914,0.98074,0.000155823,0.000155823,0.000155823
21,334.218,0.29642,0.31537,0.78221,0.41459,0.85185,0.48248,0.3824,0.80858,2.64334,0.98659,0.000154972,0.000154972,0.000154972
22,350.11,0.30648,0.31309,0.78448,0.44871,0.75749,0.47685,0.37758,0.79907,2.67817,0.96938,0.000154121,0.000154121,0.000154121
23,362.907,0.30719,0.31003,0.77714,0.47411,0.70101,0.47575,0.37497,0.80667,2.87161,0.97551,0.000153269,0.000153269,0.000153269
24,375.617,0.31078,0.30666,0.78032,0.45526,0.79108,0.47887,0.38468,0.756,2.6904,0.95373,0.000152418,0.000152418,0.000152418
25,388.549,0.28289,0.29095,0.77684,0.40639,0.85391,0.44674,0.35304,0.77852,2.71802,0.96887,0.000151566,0.000151566,0.000151566
26,400.915,0.30555,0.30711,0.77673,0.42514,0.84966,0.46828,0.37007,0.80585,3.00319,0.97091,0.000150715,0.000150715,0.000150715
27,413.35,0.29514,0.29468,0.78101,0.43661,0.81944,0.47842,0.37352,0.80579,2.84951,0.9713,0.000149864,0.000149864,0.000149864
28,429.302,0.3093,0.30191,0.78359,0.36682,0.86603,0.46984,0.37055,0.80193,2.74734,0.97185,0.000149012,0.000149012,0.000149012
29,442.159,0.28979,0.27871,0.77941,0.43691,0.80622,0.46972,0.37984,0.72935,2.50824,0.94651,0.000148161,0.000148161,0.000148161
30,454.74,0.28307,0.27623,0.77762,0.40502,0.81328,0.47027,0.37776,0.77035,2.6182,0.96583,0.000147309,0.000147309,0.000147309
31,467.85,0.27921,0.27384,0.7778,0.35779,0.85726,0.46529,0.35614,0.85212,2.81428,1.0059,0.000146458,0.000146458,0.000146458
32,480.389,0.28187,0.28155,0.77886,0.41411,0.73674,0.43009,0.34231,0.81513,2.5474,0.98898,0.000145607,0.000145607,0.000145607
33,495.757,0.28223,0.27699,0.78283,0.45866,0.74975,0.45832,0.3702,0.77024,2.98862,0.96653,0.000144755,0.000144755,0.000144755
34,511.27,0.28484,0.27958,0.77754,0.46075,0.76418,0.46953,0.37557,0.79394,2.79266,0.98339,0.000143904,0.000143904,0.000143904
35,531.04,0.28451,0.27873,0.78136,0.40236,0.85033,0.47568,0.38041,0.78344,2.62175,0.96518,0.000143052,0.000143052,0.000143052
36,556.046,0.27561,0.2667,0.78018,0.37354,0.84184,0.46164,0.37026,0.78881,2.92807,0.97936,0.000142201,0.000142201,0.000142201
37,568.754,0.28284,0.27507,0.77953,0.37105,0.84199,0.47279,0.36923,0.82121,2.71804,0.99234,0.00014135,0.00014135,0.00014135
38,585.815,0.28418,0.26871,0.77629,0.36368,0.84319,0.48845,0.38312,0.82638,2.81194,0.99643,0.000140498,0.000140498,0.000140498
39,598.251,0.27765,0.2674,0.77551,0.45487,0.77188,0.4974,0.37075,0.97691,2.83867,1.09594,0.000139647,0.000139647,0.000139647
40,611.246,0.27245,0.25731,0.77914,0.46332,0.77284,0.4952,0.38904,0.80927,2.80157,0.99065,0.000138795,0.000138795,0.000138795
41,624.177,0.27029,0.25686,0.78094,0.45574,0.78323,0.4784,0.37642,0.80097,2.84255,0.98328,0.000137944,0.000137944,0.000137944
42,636.625,0.25796,0.2535,0.77578,0.42615,0.74031,0.46527,0.36514,0.86936,2.68709,1.01992,0.000137093,0.000137093,0.000137093
43,649.069,0.27645,0.25407,0.77634,0.3752,0.81602,0.49123,0.37134,0.90074,2.73805,1.03902,0.000136241,0.000136241,0.000136241
44,661.381,0.26632,0.24626,0.77565,0.36571,0.84891,0.48508,0.37946,0.85766,2.59896,1.02081,0.00013539,0.00013539,0.00013539
45,676.255,0.26271,0.24452,0.77551,0.42401,0.74542,0.48506,0.38553,0.82461,2.58412,1.00029,0.000134538,0.000134538,0.000134538
46,693.982,0.26658,0.25145,0.77558,0.40032,0.81702,0.4764,0.37236,0.84182,2.78572,1.01066,0.000133687,0.000133687,0.000133687
47,711.864,0.27513,0.26086,0.77655,0.40751,0.79575,0.47491,0.38588,0.78464,2.63336,0.97831,0.000132836,0.000132836,0.000132836
48,724.772,0.26553,0.25028,0.77322,0.45051,0.76362,0.45613,0.37127,0.78487,3.0019,0.98492,0.000131984,0.000131984,0.000131984
49,749.466,0.25244,0.24601,0.77437,0.43441,0.77095,0.44553,0.35554,0.82108,2.65474,0.99685,0.000131133,0.000131133,0.000131133
50,774.766,0.26239,0.24394,0.7731,0.45879,0.71026,0.44601,0.35195,0.89213,2.63071,1.03626,0.000130281,0.000130281,0.000130281
51,790.307,0.28163,0.25754,0.77481,0.44809,0.80683,0.45189,0.36679,0.80698,2.801,1.00162,0.00012943,0.00012943,0.00012943
52,808.801,0.25788,0.23761,0.77779,0.42126,0.78055,0.47744,0.37266,0.87354,2.75555,1.01947,0.000128579,0.000128579,0.000128579
53,824.857,0.2596,0.2443,0.77462,0.35042,0.90925,0.47713,0.37907,0.83905,2.67676,1.01386,0.000127727,0.000127727,0.000127727
54,843.522,0.26004,0.23426,0.77309,0.4759,0.7226,0.49125,0.39482,0.8288,2.76911,1.00023,0.000126876,0.000126876,0.000126876
55,858.163,0.25062,0.23831,0.77366,0.41553,0.78218,0.50511,0.40376,0.79867,2.89233,0.97946,0.000126024,0.000126024,0.000126024
56,871.442,0.25357,0.23639,0.77635,0.38835,0.85518,0.47712,0.36865,0.90272,2.76966,1.03904,0.000125173,0.000125173,0.000125173
57,884.154,0.25036,0.23146,0.77673,0.40531,0.83267,0.47063,0.36183,0.919,2.85362,1.05836,0.000124322,0.000124322,0.000124322
58,897.038,0.25721,0.23167,0.77513,0.39701,0.83534,0.47782,0.36647,0.95009,2.66118,1.07351,0.00012347,0.00012347,0.00012347
59,916.125,0.26073,0.23587,0.77559,0.39943,0.82564,0.47605,0.37158,0.88899,2.73208,1.04671,0.000122619,0.000122619,0.000122619
60,931.272,0.24728,0.22459,0.77604,0.35407,0.87535,0.47501,0.37356,0.86194,2.66578,1.02793,0.000121767,0.000121767,0.000121767
61,950.442,0.24315,0.22034,0.77092,0.39834,0.83027,0.46904,0.36559,0.86643,2.85217,1.02249,0.000120916,0.000120916,0.000120916
