epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4577,1.01558,4.03718,0.94273,0.5074,0.07081,0.03185,0.0271,0.96514,4.39179,0.97952,5.504e-05,5.504e-05,5.504e-05
2,25.8086,0.57717,1.63831,0.85405,0.59842,0.226,0.13593,0.112,0.81016,4.24789,0.90454,0.000111817,0.000111817,0.000111817
3,37.683,0.47929,0.99661,0.82498,0.59575,0.31272,0.20248,0.16358,0.78183,3.66009,0.8916,0.000168027,0.000168027,0.000168027
4,55.1009,0.42457,0.75647,0.80728,0.51002,0.38132,0.22128,0.18487,0.70814,3.79267,0.87382,0.000169446,0.000169446,0.000169446
5,76.2552,0.41001,0.65569,0.80232,0.49743,0.35405,0.25215,0.20966,0.71743,3.36013,0.86617,0.000168594,0.000168594,0.000168594
6,94.6476,0.37107,0.56663,0.79361,0.45197,0.48919,0.25282,0.20476,0.73218,3.74185,0.86679,0.000167743,0.000167743,0.000167743
7,110.227,0.36977,0.51441,0.79286,0.42974,0.52712,0.2792,0.22644,0.77333,3.6306,0.88799,0.000166892,0.000166892,0.000166892
8,124.71,0.36842,0.49488,0.79402,0.35584,0.56644,0.2946,0.23396,0.80042,3.05525,0.90131,0.00016604,0.00016604,0.00016604
9,150.171,0.33951,0.45091,0.78887,0.36282,0.60949,0.29481,0.238,0.77242,3.19783,0.89465,0.000165189,0.000165189,0.000165189
10,162.23,0.32787,0.42783,0.78639,0.39394,0.55516,0.30569,0.24565,0.7921,3.2404,0.89554,0.000164337,0.000164337,0.000164337
11,178.607,0.32296,0.40796,0.78985,0.38104,0.63712,0.31087,0.25588,0.74573,3.18845,0.88157,0.000163486,0.000163486,0.000163486
12,200.215,0.31935,0.3931,0.78696,0.40384,0.58325,0.33603,0.27746,0.7556,3.50676,0.88048,0.000162635,0.000162635,0.000162635
13,219.369,0.32123,0.37034,0.78204,0.36452,0.63098,0.31622,0.25711,0.78059,3.28485,0.89324,0.000161783,0.000161783,0.000161783
14,241.402,0.31179,0.36234,0.78923,0.38313,0.64775,0.33092,0.26697,0.78679,3.19231,0.89391,0.000160932,0.000160932,0.000160932
15,257.224,0.30095,0.34901,0.78278,0.35183,0.65128,0.33489,0.27544,0.75062,3.5531,0.88584,0.00016008,0.00016008,0.00016008
16,268.654,0.30017,0.34888,0.7835,0.33743,0.67591,0.34434,0.27968,0.77162,3.24763,0.89485,0.000159229,0.000159229,0.000159229
17,279.47,0.29427,0.33483,0.78234,0.38429,0.64095,0.349,0.28083,0.76304,3.15811,0.8887,0.000158378,0.000158378,0.000158378
18,297.135,0.28653,0.33009,0.78278,0.34771,0.69839,0.33056,0.2676,0.75238,3.16894,0.88855,0.000157526,0.000157526,0.000157526
19,307.729,0.27861,0.31503,0.77805,0.32575,0.67043,0.34364,0.27547,0.81896,3.41103,0.90915,0.000156675,0.000156675,0.000156675
20,318.869,0.27932,0.31457,0.78445,0.34292,0.65334,0.34478,0.27639,0.7977,3.42012,0.90568,0.000155823,0.000155823,0.000155823
21,329.766,0.29665,0.3239,0.78688,0.342,0.60983,0.36799,0.29845,0.78809,3.2881,0.897,0.000154972,0.000154972,0.000154972
22,347.331,0.28855,0.31068,0.78048,0.30981,0.69594,0.37953,0.30499,0.83341,3.336,0.9211,0.000154121,0.000154121,0.000154121
23,364.54,0.27288,0.31209,0.77822,0.3503,0.64237,0.36507,0.29393,0.79998,3.34349,0.91086,0.000153269,0.000153269,0.000153269
24,374.694,0.27875,0.29999,0.78417,0.37437,0.61339,0.38088,0.30986,0.77869,3.4242,0.89743,0.000152418,0.000152418,0.000152418
25,387.501,0.28168,0.30571,0.77695,0.32877,0.69111,0.34901,0.27949,0.81846,3.49493,0.90657,0.000151566,0.000151566,0.000151566
26,410.183,0.27659,0.28983,0.77705,0.34195,0.66835,0.35058,0.28464,0.79723,3.48632,0.90817,0.000150715,0.000150715,0.000150715
27,425.628,0.26156,0.27847,0.77959,0.30933,0.64628,0.36118,0.29065,0.80913,3.37715,0.91233,0.000149864,0.000149864,0.000149864
28,448.842,0.25751,0.2819,0.77803,0.32203,0.67399,0.37584,0.30815,0.77577,3.58119,0.89861,0.000149012,0.000149012,0.000149012
29,466.226,0.27456,0.28301,0.77691,0.33237,0.64416,0.35503,0.28379,0.85032,3.48217,0.91746,0.000148161,0.000148161,0.000148161
30,476.928,0.2548,0.26614,0.77424,0.37804,0.64055,0.36753,0.3,0.77061,3.62786,0.89339,0.000147309,0.000147309,0.000147309
31,488.155,0.26432,0.27588,0.77057,0.34139,0.63558,0.37878,0.30435,0.80867,3.6304,0.9074,0.000146458,0.000146458,0.000146458
32,504.563,0.26111,0.27114,0.77543,0.34463,0.62038,0.36841,0.29489,0.83027,3.341,0.91943,0.000145607,0.000145607,0.000145607
33,515.028,0.27212,0.27543,0.77859,0.37042,0.59995,0.35633,0.2906,0.81822,3.38131,0.91025,0.000144755,0.000144755,0.000144755
34,536.813,0.27366,0.27679,0.77578,0.30402,0.61235,0.37145,0.30232,0.77908,3.42799,0.90069,0.000143904,0.000143904,0.000143904
35,552.813,0.27278,0.27172,0.77629,0.30423,0.646,0.37404,0.31159,0.74107,3.43984,0.88796,0.000143052,0.000143052,0.000143052
36,581.416,0.26516,0.26496,0.77769,0.34124,0.63539,0.38532,0.31709,0.7756,3.63986,0.89348,0.000142201,0.000142201,0.000142201
37,609.462,0.25883,0.25476,0.77181,0.37403,0.66683,0.37285,0.31001,0.76544,3.73597,0.89712,0.00014135,0.00014135,0.00014135
38,620.868,0.26193,0.25848,0.77787,0.34671,0.67342,0.36712,0.29872,0.7982,3.5805,0.90445,0.000140498,0.000140498,0.000140498
39,637.22,0.25871,0.2543,0.77354,0.35051,0.62904,0.37087,0.30147,0.82612,3.59587,0.921,0.000139647,0.000139647,0.000139647
40,657.014,0.26066,0.26396,0.77904,0.33963,0.64256,0.37394,0.30458,0.7869,3.48144,0.90179,0.000138795,0.000138795,0.000138795
41,671.062,0.2608,0.25847,0.77571,0.33989,0.66295,0.36454,0.29499,0.83238,3.70732,0.91458,0.000137944,0.000137944,0.000137944
42,685.344,0.25987,0.25468,0.77193,0.351,0.64268,0.38457,0.31605,0.79867,3.65542,0.90574,0.000137093,0.000137093,0.000137093
43,701.605,0.25732,0.25492,0.77347,0.3434,0.68821,0.37905,0.30593,0.80978,3.55415,0.90967,0.000136241,0.000136241,0.000136241
44,711.264,0.24958,0.24488,0.77646,0.34618,0.66342,0.37529,0.30313,0.81213,3.6302,0.9138,0.00013539,0.00013539,0.00013539
45,722.302,0.26378,0.24852,0.7702,0.33614,0.66972,0.36369,0.29113,0.85041,3.52946,0.93045,0.000134538,0.000134538,0.000134538
46,735.694,0.25491,0.2524,0.77815,0.30909,0.66264,0.38475,0.3108,0.78801,3.6064,0.90583,0.000133687,0.000133687,0.000133687
47,746.305,0.25402,0.24701,0.77548,0.30252,0.67573,0.3771,0.30346,0.83851,3.54067,0.92312,0.000132836,0.000132836,0.000132836
48,760.773,0.24848,0.24217,0.77328,0.32451,0.67128,0.36911,0.29737,0.82512,3.60822,0.91373,0.000131984,0.000131984,0.000131984
49,774.686,0.24639,0.243,0.77348,0.34913,0.69197,0.36481,0.29778,0.8301,3.65009,0.92252,0.000131133,0.000131133,0.000131133
50,785.249,0.25273,0.24636,0.77296,0.35491,0.6852,0.36241,0.28964,0.87621,3.51591,0.93751,0.000130281,0.000130281,0.000130281
51,796.15,0.24365,0.23483,0.77604,0.32228,0.70001,0.37213,0.30066,0.81859,3.52577,0.9131,0.00012943,0.00012943,0.00012943
52,806.275,0.25002,0.24867,0.77406,0.2944,0.69669,0.37824,0.30829,0.77538,3.80836,0.9007,0.000128579,0.000128579,0.000128579
53,816.9,0.23072,0.22472,0.77366,0.33606,0.65281,0.38252,0.30985,0.79048,3.84063,0.90423,0.000127727,0.000127727,0.000127727
54,831.575,0.2395,0.22943,0.77264,0.29151,0.67977,0.38275,0.30907,0.79198,3.91974,0.89801,0.000126876,0.000126876,0.000126876
55,842.308,0.24313,0.22981,0.77031,0.30104,0.65026,0.36439,0.29289,0.80967,3.73884,0.9028,0.000126024,0.000126024,0.000126024
56,863.194,0.22767,0.22098,0.77783,0.29245,0.66765,0.37819,0.30598,0.78138,3.67903,0.90414,0.000125173,0.000125173,0.000125173
57,878.788,0.2346,0.22315,0.77287,0.29433,0.62615,0.36928,0.29606,0.85818,3.67056,0.93347,0.000124322,0.000124322,0.000124322
58,907.429,0.23851,0.23027,0.77427,0.30403,0.6363,0.38436,0.3094,0.84741,3.82405,0.94116,0.00012347,0.00012347,0.00012347
59,918.318,0.24051,0.22873,0.77423,0.30585,0.65287,0.36614,0.30028,0.77925,3.76385,0.90117,0.000122619,0.000122619,0.000122619
60,931.854,0.25545,0.23812,0.77677,0.29649,0.67102,0.35445,0.28855,0.79351,3.86544,0.90922,0.000121767,0.000121767,0.000121767
61,942.368,0.245,0.2296,0.77081,0.32315,0.6909,0.36298,0.29038,0.8404,3.59524,0.92866,0.000120916,0.000120916,0.000120916
62,954.907,0.22914,0.22126,0.77471,0.32482,0.68529,0.35876,0.28335,0.86603,3.55301,0.93688,0.000120065,0.000120065,0.000120065
